,0
Start,2017-11-09 00:00:00
End,2023-02-22 00:00:00
Duration,1931 days 00:00:00
Exposure Time [%],36.95652173913043
Equity Final [$],21595.829380046594
Equity Peak [$],74879.5698607792
Return [%],115.95829380046594
Buy & Hold Return [%],1113.3684140303285
Return (Ann.) [%],15.656566302828745
Volatility (Ann.) [%],95.0882202720365
Sharpe Ratio,0.16465305858114815
Sortino Ratio,0.34891470073307856
Calmar Ratio,0.20524933480533086
Max. Drawdown [%],-76.28071641585706
Avg. Drawdown [%],-23.263563639592206
Max. Drawdown Duration,907 days 00:00:00
Avg. Drawdown Duration,133 days 00:00:00
# Trades,77
Win Rate [%],11.688311688311687
Best Trade [%],174.0649498850046
Worst Trade [%],-7.431174031270538
Avg. Trade [%],1.004876499876528
Max. Trade Duration,122 days 00:00:00
Avg. Trade Duration,9 days 00:00:00
Profit Factor,1.9019224717435255
Expectancy [%],4.162846632545691
SQN,0.27160311700101214
Kelly Criterion,0.017206700131593505
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2017-11-09  10000.000000     0.000000              NaT
2017-11-10  10000.000000     0.000000              NaT
2017-11-11  10000.000000     0.000000              NaT
2017-11-12  10000.000000     0.000000              NaT
2017-11-13  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-18  22360.415744     0.701382              NaT
2023-02-19  22017.908671     0.705956              NaT
2023-02-20  22232.305441     0.703093              NaT
2023-02-21  21594.728925     0.711607              NaT
2023-02-22  21595.829380     0.711593         732 days

[1932 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0   10856        65       65    0.921080  ... 2018-01-13 2018-01-13  None   0 days
1   10454        66       66    0.885489  ... 2018-01-14 2018-01-14  None   0 days
2   10990        67       68    0.798944  ... 2018-01-15 2018-01-16  None   1 days
3   13367        69       69    0.626619  ... 2018-01-17 2018-01-17  None   0 days
4   12552        70       70    0.633820  ... 2018-01-18 2018-01-18  None   0 days
..    ...       ...      ...         ...  ...        ...        ...   ...      ...
72  43080      1719     1719    0.515818  ... 2022-07-25 2022-07-25  None   0 days
73  40031      1724     1727    0.525312  ... 2022-07-30 2022-08-02  None   3 days
74  38300      1731     1744    0.519634  ... 2022-08-06 2022-08-19  None  13 days
75  36602      1767     1769    0.514430  ... 2022-09-11 2022-09-13  None   2 days
76  55030      1889     1931    0.323792  ... 2023-01-11 2023-02-22  None  42 days

[77 rows x 11 columns]"
