,0
Start,2015-01-02 00:00:00
End,2023-02-24 00:00:00
Duration,2975 days 00:00:00
Exposure Time [%],57.82545099951243
Equity Final [$],18902.497827407835
Equity Peak [$],26781.651487442017
Return [%],89.02497827407835
Buy & Hold Return [%],343.1020524907433
Return (Ann.) [%],8.137183744338916
Volatility (Ann.) [%],22.59590491671695
Sharpe Ratio,0.3601176307977313
Sortino Ratio,0.5469251013279041
Calmar Ratio,0.2708942340452539
Max. Drawdown [%],-30.03823161101158
Avg. Drawdown [%],-4.236280370796057
Max. Drawdown Duration,905 days 00:00:00
Avg. Drawdown Duration,50 days 00:00:00
# Trades,31
Win Rate [%],38.70967741935484
Best Trade [%],29.496511898095523
Worst Trade [%],-6.319458046207449
Avg. Trade [%],2.082515073544422
Max. Trade Duration,239 days 00:00:00
Avg. Trade Duration,54 days 00:00:00
Profit Factor,2.042670582143988
Expectancy [%],2.5387734905659065
SQN,0.9629758033349914
Kelly Criterion,0.15178519580650976
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2015-01-02  10000.000000     0.000000              NaT
2015-01-05  10000.000000     0.000000              NaT
2015-01-06  10000.000000     0.000000              NaT
2015-01-07  10000.000000     0.000000              NaT
2015-01-08  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-17  20704.355585     0.226920              NaT
2023-02-21  20115.655939     0.248902              NaT
2023-02-22  20232.815302     0.244527              NaT
2023-02-23  20134.214594     0.248209              NaT
2023-02-24  18902.497827     0.294200         905 days

[2051 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0    130        89      161   76.565042  ... 2015-05-12 2015-08-24  None 104 days
1    119       181      186   82.307923  ... 2015-09-22 2015-09-29  None   7 days
2    114       189      192   82.538839  ... 2015-10-02 2015-10-07  None   5 days
3    108       195      262   83.994644  ... 2015-10-12 2016-01-19  None  99 days
4    102       340      373   95.199280  ... 2016-05-10 2016-06-27  None  48 days
5     95       383      469   97.639000  ... 2016-07-12 2016-11-10  None 121 days
6     91       477      480  106.273398  ... 2016-11-22 2016-11-28  None   6 days
7     90       492      499  106.725203  ... 2016-12-14 2016-12-23  None   9 days
8     86       509      614  109.004280  ... 2017-01-10 2017-06-12  None 153 days
9     82       616      689  139.847153  ... 2017-06-14 2017-09-27  None 105 days
10    79       697      736  151.363034  ... 2017-10-09 2017-12-04  None  56 days
11    80       737      782  168.360762  ... 2017-12-05 2018-02-09  None  66 days
12    76       784      950  191.613406  ... 2018-02-13 2018-10-10  None 239 days
13    72      1050     1112  256.793084  ... 2019-03-07 2019-06-05  None  90 days
14    71      1114     1155  276.973475  ... 2019-06-07 2019-08-06  None  60 days
15    67      1158     1161  297.324575  ... 2019-08-09 2019-08-14  None   5 days
16    59      1249     1293  323.388406  ... 2019-12-18 2020-02-24  None  68 days
17    57      1294     1296  362.444000  ... 2020-02-25 2020-02-27  None   2 days
18    59      1297     1303  325.717693  ... 2020-02-28 2020-03-09  None  10 days
19    54      1332     1333  342.153169  ... 2020-04-20 2020-04-21  None   1 days
20    50      1338     1438  354.502356  ... 2020-04-28 2020-09-18  None 143 days
21    47      1440     1467  481.227238  ... 2020-09-22 2020-10-29  None  37 days
22    44      1473     1474  496.929812  ... 2020-11-06 2020-11-09  None   3 days
23    42      1493     1498  488.948000  ... 2020-12-07 2020-12-14  None   7 days
24    40      1594     1596  501.467881  ... 2021-05-04 2021-05-06  None   2 days
25    39      1598     1602  489.490169  ... 2021-05-10 2021-05-14  None   4 days
26    38      1607     1695  496.166762  ... 2021-05-21 2021-09-27  None 129 days
27    36      1712     1743  641.837149  ... 2021-10-20 2021-12-03  None  44 days
28    34      1746     1750  649.889188  ... 2021-12-08 2021-12-14  None   6 days
29    52      1925     1926  407.413169  ... 2022-08-25 2022-08-26  None   1 days
30    58      2021     2050  345.546693  ... 2023-01-12 2023-02-24  None  43 days

[31 rows x 11 columns]"
