,0
Start,2020-05-27 00:00:00
End,2023-02-22 00:00:00
Duration,1001 days 00:00:00
Exposure Time [%],40.618762475049905
Equity Final [$],93186.0750960022
Equity Peak [$],376157.5889002628
Return [%],831.860750960022
Buy & Hold Return [%],1965.8335104632479
Return (Ann.) [%],125.47941973707601
Volatility (Ann.) [%],383.11031301487117
Sharpe Ratio,0.32752817001876244
Sortino Ratio,2.236723106481159
Calmar Ratio,1.5400273488286393
Max. Drawdown [%],-81.47869570791516
Avg. Drawdown [%],-22.390534792265637
Max. Drawdown Duration,504 days 00:00:00
Avg. Drawdown Duration,55 days 00:00:00
# Trades,58
Win Rate [%],8.620689655172415
Best Trade [%],819.9320824329384
Worst Trade [%],-6.555838861039309
Avg. Trade [%],3.9229068016283675
Max. Trade Duration,100 days 00:00:00
Avg. Trade Duration,7 days 00:00:00
Profit Factor,4.718814181990234
Expectancy [%],18.394130663958876
SQN,0.3793202229505194
Kelly Criterion,0.01895382512362316
_strategy,MaCrossingStrategy
_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2020-05-27   10000.000000     0.000000              NaT
2020-05-28   10000.000000     0.000000              NaT
2020-05-29   10000.000000     0.000000              NaT
2020-05-30   10000.000000     0.000000              NaT
2020-05-31   10000.000000     0.000000              NaT
...                   ...          ...              ...
2023-02-18   99408.102708     0.735728              NaT
2023-02-19  100177.337150     0.733683              NaT
2023-02-20  102206.868296     0.728287              NaT
2023-02-21   93193.667107     0.752248              NaT
2023-02-22   93186.075096     0.752269         504 days

[1002 rows x 3 columns]"
