,0
Start,2019-03-14 00:00:00
End,2023-02-25 00:00:00
Duration,1444 days 00:00:00
Exposure Time [%],50.7969507969508
Equity Final [$],25598.529695788362
Equity Peak [$],37062.70424029253
Return [%],155.9852969578836
Buy & Hold Return [%],99.53988205176162
Return (Ann.) [%],26.839946990239905
Volatility (Ann.) [%],139.67839296986247
Sharpe Ratio,0.19215532495445442
Sortino Ratio,0.4992940725185594
Calmar Ratio,0.3873045520907858
Max. Drawdown [%],-69.2993326449427
Avg. Drawdown [%],-29.47669386731835
Max. Drawdown Duration,524 days 00:00:00
Avg. Drawdown Duration,153 days 00:00:00
# Trades,59
Win Rate [%],13.559322033898304
Best Trade [%],187.08975446022745
Worst Trade [%],-6.697923609976941
Avg. Trade [%],1.604380825197116
Max. Trade Duration,88 days 00:00:00
Avg. Trade Duration,12 days 00:00:00
Profit Factor,2.0976104584037905
Expectancy [%],5.078200649903251
SQN,0.600314187125899
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2019-03-14  10000.000000     0.000000              NaT
2019-03-15  10000.000000     0.000000              NaT
2019-03-16  10000.000000     0.000000              NaT
2019-03-17  10000.000000     0.000000              NaT
2019-03-18  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-19  27694.752510     0.252760              NaT
2023-02-20  28235.234784     0.238177              NaT
2023-02-21  27168.978953     0.266946              NaT
2023-02-22  26624.868541     0.281626              NaT
2023-02-25  25598.529696     0.309318         524 days

[1443 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  ...  EntryTime   ExitTime  Duration
0   2116        66       69  ... 2019-05-19 2019-05-22    3 days
1   2168        70       70  ... 2019-05-23 2019-05-23    0 days
2   1999        72      116  ... 2019-05-25 2019-07-08   44 days
3   3127       186      186  ... 2019-09-16 2019-09-16    0 days
4   3065       187      189  ... 2019-09-17 2019-09-19    2 days
5   3024       191      192  ... 2019-09-21 2019-09-22    1 days
6   3128       209      210  ... 2019-10-09 2019-10-10    1 days
7   2969       211      211  ... 2019-10-11 2019-10-11    0 days
8   2877       212      223  ... 2019-10-12 2019-10-23   11 days
9   2558       226      253  ... 2019-10-26 2019-11-22   27 days
10  2142       258      258  ... 2019-11-27 2019-11-27    0 days
11  1986       259      328  ... 2019-11-28 2020-02-05   69 days
12  1735       331      331  ... 2020-02-08 2020-02-08    0 days
13  1707       332      339  ... 2020-02-09 2020-02-16    7 days
14  1489       346      346  ... 2020-02-23 2020-02-23    0 days
15  1471       347      347  ... 2020-02-24 2020-02-24    0 days
16  2314       409      410  ... 2020-04-26 2020-04-27    1 days
17  2280       411      417  ... 2020-04-28 2020-05-04    6 days
18  2156       418      420  ... 2020-05-05 2020-05-07    2 days
19  2074       421      423  ... 2020-05-08 2020-05-10    2 days
20  2130       424      424  ... 2020-05-11 2020-05-11    0 days
21  2045       426      463  ... 2020-05-13 2020-06-19   37 days
22  1847       480      538  ... 2020-07-06 2020-09-02   58 days
23  1843       539      539  ... 2020-09-03 2020-09-03    0 days
24  1940       579      580  ... 2020-10-13 2020-10-14    1 days
25  2078       615      615  ... 2020-11-18 2020-11-18    0 days
26  1972       618      632  ... 2020-11-21 2020-12-05   14 days
27  1796       644      647  ... 2020-12-17 2020-12-20    3 days
28  1713       658      669  ... 2020-12-31 2021-01-11   11 days
29  1546       671      704  ... 2021-01-13 2021-02-15   33 days
30  1127       705      709  ... 2021-02-16 2021-02-20    4 days
31  1102       710      711  ... 2021-02-21 2021-02-22    1 days
32  1067       712      712  ... 2021-02-23 2021-02-23    0 days
33  1068       713      713  ... 2021-02-24 2021-02-24    0 days
34  1043       714      714  ... 2021-02-25 2021-02-25    0 days
35  1081       715      715  ... 2021-02-26 2021-02-26    0 days
36   965       716      717  ... 2021-02-27 2021-02-28    1 days
37   975       718      771  ... 2021-03-01 2021-04-23   53 days
38   705       776      776  ... 2021-04-28 2021-04-28    0 days
39   670       777      777  ... 2021-04-29 2021-04-29    0 days
40   655       778      782  ... 2021-04-30 2021-05-04    4 days
41   537       785      788  ... 2021-05-07 2021-05-10    3 days
42   512       789      789  ... 2021-05-11 2021-05-11    0 days
43   457       790      790  ... 2021-05-12 2021-05-12    0 days
44   505       791      795  ... 2021-05-13 2021-05-17    4 days
45   771       851      851  ... 2021-07-12 2021-07-12    0 days
46   832       872      922  ... 2021-08-02 2021-09-21   50 days
47   852       923      972  ... 2021-09-22 2021-11-10   49 days
48   827      1020     1020  ... 2021-12-28 2021-12-28    0 days
49   714      1024     1045  ... 2022-01-01 2022-01-22   21 days
50   613      1049     1049  ... 2022-01-26 2022-01-26    0 days
51   642      1050     1050  ... 2022-01-27 2022-01-27    0 days
52   667      1111     1114  ... 2022-03-29 2022-04-01    3 days
53   593      1116     1118  ... 2022-04-03 2022-04-05    2 days
54   600      1119     1119  ... 2022-04-06 2022-04-06    0 days
55  1853      1214     1214  ... 2022-07-10 2022-07-10    0 days
56  1743      1220     1308  ... 2022-07-16 2022-10-12   88 days
57  1568      1326     1335  ... 2022-10-30 2022-11-08    9 days
58  1959      1393     1442  ... 2023-01-05 2023-02-25   51 days

[59 rows x 10 columns]"
