,0
Start,2015-01-01 00:00:00
End,2023-02-25 00:00:00
Duration,2977 days 00:00:00
Exposure Time [%],54.13306451612904
Equity Final [$],990310.2988767694
Equity Peak [$],1249705.939931457
Return [%],9803.102988767694
Buy & Hold Return [%],7234.885777461709
Return (Ann.) [%],75.70214255538066
Volatility (Ann.) [%],92.79722778123212
Sharpe Ratio,0.8157802163427464
Sortino Ratio,2.411683175344428
Calmar Ratio,1.2280074748578658
Max. Drawdown [%],-61.646320649752326
Avg. Drawdown [%],-11.914768227933024
Max. Drawdown Duration,562 days 00:00:00
Avg. Drawdown Duration,53 days 00:00:00
# Trades,83
Win Rate [%],30.120481927710845
Best Trade [%],206.10454905149504
Worst Trade [%],-6.214104404179199
Avg. Trade [%],5.7341523257058435
Max. Trade Duration,105 days 00:00:00
Avg. Trade Duration,19 days 00:00:00
Profit Factor,3.4697165243881547
Expectancy [%],9.049183256458193
SQN,1.487546903166357
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2015-01-01  1.000000e+04     0.000000              NaT
2015-01-02  1.000000e+04     0.000000              NaT
2015-01-03  1.000000e+04     0.000000              NaT
2015-01-04  1.000000e+04     0.000000              NaT
2015-01-05  1.000000e+04     0.000000              NaT
...                  ...          ...              ...
2023-02-19  1.037881e+06     0.169500              NaT
2023-02-20  1.058944e+06     0.152646              NaT
2023-02-21  1.042446e+06     0.165847              NaT
2023-02-22  1.032051e+06     0.174165              NaT
2023-02-25  9.903103e+05     0.207565         474 days

[2976 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  ...  EntryTime   ExitTime  Duration
0     36        61       76  ... 2015-03-03 2015-03-18   15 days
1     36        77       83  ... 2015-03-19 2015-03-25    6 days
2     37       143      151  ... 2015-05-24 2015-06-01    8 days
3     36       166      197  ... 2015-06-16 2015-07-17   31 days
4     35       198      219  ... 2015-07-18 2015-08-08   21 days
..   ...       ...      ...  ...        ...        ...       ...
78    21      2633     2659  ... 2022-03-18 2022-04-13   26 days
79    36      2767     2772  ... 2022-07-30 2022-08-04    5 days
80    35      2773     2787  ... 2022-08-05 2022-08-19   14 days
81    36      2856     2868  ... 2022-10-27 2022-11-08   12 days
82    42      2929     2975  ... 2023-01-08 2023-02-25   48 days

[83 rows x 10 columns]"
