,0
Start,2020-08-20 00:00:00
End,2023-02-25 00:00:00
Duration,919 days 00:00:00
Exposure Time [%],40.305010893246184
Equity Final [$],73793.35782773394
Equity Peak [$],114876.83751559825
Return [%],637.9335782773394
Buy & Hold Return [%],127.313054775487
Return (Ann.) [%],121.37404125966613
Volatility (Ann.) [%],224.0655179307427
Sharpe Ratio,0.5416899591715942
Sortino Ratio,2.673281595972284
Calmar Ratio,2.35174022951611
Max. Drawdown [%],-51.610309564096646
Avg. Drawdown [%],-13.15813348266718
Max. Drawdown Duration,478 days 00:00:00
Avg. Drawdown Duration,39 days 00:00:00
# Trades,22
Win Rate [%],22.727272727272727
Best Trade [%],270.62481422329586
Worst Trade [%],-5.570107514687928
Avg. Trade [%],9.510590282819642
Max. Trade Duration,113 days 00:00:00
Avg. Trade Duration,16 days 00:00:00
Profit Factor,5.415020625470753
Expectancy [%],18.31759042023057
SQN,0.9686032586423418
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2020-08-20  10000.000000     0.000000              NaT
2020-08-21  10000.000000     0.000000              NaT
2020-08-22  10000.000000     0.000000              NaT
2020-08-23  10000.000000     0.000000              NaT
2020-08-24  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-19  83035.102818     0.277182              NaT
2023-02-20  84133.410363     0.267621              NaT
2023-02-21  80861.056748     0.296107              NaT
2023-02-22  80129.390721     0.302476              NaT
2023-02-25  73793.357828     0.357631         478 days

[918 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  ...  EntryTime   ExitTime  Duration
0    2126        69       69  ... 2020-10-28 2020-10-28    0 days
1    2114        84      144  ... 2020-11-12 2021-01-11   60 days
2    1941       145      187  ... 2021-01-12 2021-02-23   42 days
3    1733       188      188  ... 2021-02-24 2021-02-24    0 days
4    1673       189      189  ... 2021-02-25 2021-02-25    0 days
5    1710       190      190  ... 2021-02-26 2021-02-26    0 days
6    1601       191      216  ... 2021-02-27 2021-03-24   25 days
7    1455       220      244  ... 2021-03-28 2021-04-21   24 days
8    1236       260      260  ... 2021-05-07 2021-05-07    0 days
9    1218       261      263  ... 2021-05-08 2021-05-10    2 days
10    959       268      268  ... 2021-05-15 2021-05-15    0 days
11   1000       269      269  ... 2021-05-16 2021-05-16    0 days
12    972       270      270  ... 2021-05-17 2021-05-17    0 days
13   2178       348      348  ... 2021-08-03 2021-08-03    0 days
14   2132       349      462  ... 2021-08-04 2021-11-25  113 days
15   4201       577      577  ... 2022-03-20 2022-03-20    0 days
16   3800       580      599  ... 2022-03-23 2022-04-11   19 days
17   8895       709      712  ... 2022-07-30 2022-08-02    3 days
18   8678       713      729  ... 2022-08-03 2022-08-19   16 days
19   9831       803      804  ... 2022-11-01 2022-11-02    1 days
20   8785       808      810  ... 2022-11-06 2022-11-08    2 days
21  11155       876      917  ... 2023-01-13 2023-02-25   43 days

[22 rows x 10 columns]"
