,0
Start,2017-11-09 00:00:00
End,2023-02-25 00:00:00
Duration,1934 days 00:00:00
Exposure Time [%],46.76668391101914
Equity Final [$],88884.13202053828
Equity Peak [$],113516.03341677853
Return [%],788.8413202053828
Buy & Hold Return [%],398.24167569923594
Return (Ann.) [%],51.0644807228855
Volatility (Ann.) [%],96.07983831709032
Sharpe Ratio,0.5314796695885191
Sortino Ratio,1.3269848947542455
Calmar Ratio,0.8185255782083559
Max. Drawdown [%],-62.38593158525221
Avg. Drawdown [%],-13.61143914438617
Max. Drawdown Duration,923 days 00:00:00
Avg. Drawdown Duration,66 days 00:00:00
# Trades,49
Win Rate [%],22.448979591836736
Best Trade [%],174.79612722320934
Worst Trade [%],-6.06050775954774
Avg. Trade [%],4.564376111711876
Max. Trade Duration,133 days 00:00:00
Avg. Trade Duration,18 days 00:00:00
Profit Factor,3.0597816065062853
Expectancy [%],8.147339908522904
SQN,1.6127475177050237
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2017-11-09  10000.000000     0.000000              NaT
2017-11-10  10000.000000     0.000000              NaT
2017-11-11  10000.000000     0.000000              NaT
2017-11-12  10000.000000     0.000000              NaT
2017-11-13  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-19  92879.943788     0.181790              NaT
2023-02-20  94048.089540     0.171500              NaT
2023-02-21  91592.955873     0.193128              NaT
2023-02-22  90778.698061     0.200301              NaT
2023-02-25  88884.132021     0.216991         474 days

[1933 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  ...  EntryTime   ExitTime  Duration
0      8        61       68  ... 2018-01-09 2018-01-16    7 days
1      8        69       69  ... 2018-01-17 2018-01-17    0 days
2      8        70       74  ... 2018-01-18 2018-01-22    4 days
3      8        75       75  ... 2018-01-23 2018-01-23    0 days
4      8        76       85  ... 2018-01-24 2018-02-02    9 days
5     11       166      167  ... 2018-04-24 2018-04-25    1 days
6     11       168      195  ... 2018-04-26 2018-05-23   27 days
7     31       364      368  ... 2018-11-08 2018-11-12    4 days
8     42       420      420  ... 2019-01-03 2019-01-03    0 days
9     42       421      427  ... 2019-01-04 2019-01-10    6 days
10    47       430      430  ... 2019-01-13 2019-01-13    0 days
11    45       434      438  ... 2019-01-17 2019-01-21    4 days
12    36       467      472  ... 2019-02-19 2019-02-24    5 days
13    37       473      480  ... 2019-02-25 2019-03-04    7 days
14    34       483      488  ... 2019-03-07 2019-03-12    5 days
15    33       489      609  ... 2019-03-13 2019-07-11  120 days
16    42       679      684  ... 2019-09-19 2019-09-24    5 days
17    44       701      701  ... 2019-10-11 2019-10-11    0 days
18    41       720      721  ... 2019-10-30 2019-10-31    1 days
19    40       727      736  ... 2019-11-06 2019-11-15    9 days
20    43       798      806  ... 2020-01-16 2020-01-24    8 days
21    41       807      839  ... 2020-01-25 2020-02-26   32 days
22    43       840      840  ... 2020-02-27 2020-02-27    0 days
23    41       841      843  ... 2020-02-28 2020-03-01    2 days
24    40       844      850  ... 2020-03-02 2020-03-08    6 days
25    46       893      893  ... 2020-04-20 2020-04-20    0 days
26    43       896     1029  ... 2020-04-23 2020-09-03  133 days
27    43      1030     1031  ... 2020-09-04 2020-09-05    1 days
28    41      1039     1039  ... 2020-09-13 2020-09-13    0 days
29    39      1045     1047  ... 2020-09-19 2020-09-21    2 days
30    37      1076     1159  ... 2020-10-20 2021-01-11   83 days
31    35      1160     1160  ... 2021-01-12 2021-01-12    0 days
32    35      1161     1170  ... 2021-01-13 2021-01-22    9 days
33    30      1171     1202  ... 2021-01-23 2021-02-23   31 days
34    27      1203     1204  ... 2021-02-24 2021-02-25    1 days
35    27      1205     1207  ... 2021-02-26 2021-02-28    2 days
36    25      1210     1233  ... 2021-03-03 2021-03-26   23 days
37    22      1238     1285  ... 2021-03-31 2021-05-17   47 days
38    21      1286     1287  ... 2021-05-18 2021-05-19    1 days
39    28      1358     1412  ... 2021-07-29 2021-09-21   54 days
40    23      1424     1493  ... 2021-10-03 2021-12-11   69 days
41    31      1591     1628  ... 2022-03-19 2022-04-25   37 days
42    59      1714     1719  ... 2022-07-20 2022-07-25    5 days
43    59      1720     1720  ... 2022-07-26 2022-07-26    0 days
44    50      1722     1745  ... 2022-07-28 2022-08-20   23 days
45    49      1746     1752  ... 2022-08-21 2022-08-27    6 days
46    44      1765     1771  ... 2022-09-09 2022-09-15    6 days
47    46      1813     1825  ... 2022-10-27 2022-11-08   12 days
48    55      1884     1932  ... 2023-01-06 2023-02-25   50 days

[49 rows x 10 columns]"
