,0
Start,2015-01-02 00:00:00
End,2023-02-24 00:00:00
Duration,2975 days 00:00:00
Exposure Time [%],50.65821550463189
Equity Final [$],17854.342748832707
Equity Peak [$],21931.678400321965
Return [%],78.54342748832707
Buy & Hold Return [%],241.43903703165424
Return (Ann.) [%],7.381876043669622
Volatility (Ann.) [%],17.24020769076921
Sharpe Ratio,0.42817790690665763
Sortino Ratio,0.656561736468069
Calmar Ratio,0.2639678597119342
Max. Drawdown [%],-27.96505624482237
Avg. Drawdown [%],-3.43535204926688
Max. Drawdown Duration,1471 days 00:00:00
Avg. Drawdown Duration,60 days 00:00:00
# Trades,23
Win Rate [%],39.130434782608695
Best Trade [%],68.57314916941206
Worst Trade [%],-9.298434204680127
Avg. Trade [%],2.5591427094438846
Max. Trade Duration,352 days 00:00:00
Avg. Trade Duration,64 days 00:00:00
Profit Factor,2.317114951930563
Expectancy [%],3.4942260898629565
SQN,0.8730145319968896
Kelly Criterion,0.20194115220875758
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2015-01-02  10000.000000     0.000000              NaT
2015-01-05  10000.000000     0.000000              NaT
2015-01-06  10000.000000     0.000000              NaT
2015-01-07  10000.000000     0.000000              NaT
2015-01-08  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-17  17854.342749     0.185911              NaT
2023-02-21  17854.342749     0.185911              NaT
2023-02-22  17854.342749     0.185911              NaT
2023-02-23  17854.342749     0.185911              NaT
2023-02-24  17854.342749     0.185911         541 days

[2051 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0    320       141      161   31.174199  ... 2015-07-27 2015-08-24  None  28 days
1    300       163      262   30.639570  ... 2015-08-26 2016-01-19  None 146 days
2    267       272      274   39.381898  ... 2016-02-02 2016-02-04  None   2 days
3    260       354      360   36.733350  ... 2016-05-31 2016-06-08  None   8 days
4    241       409      465   39.021465  ... 2016-08-17 2016-11-04  None  79 days
5    231       468      470   39.152990  ... 2016-11-09 2016-11-11  None   2 days
6    217       492      614   40.029479  ... 2016-12-14 2017-06-12  None 180 days
7    210       615      629   47.785883  ... 2017-06-13 2017-07-03  None  20 days
8    203       634      650   46.662909  ... 2017-07-11 2017-08-02  None  22 days
9    189       703      778   49.712558  ... 2017-10-17 2018-02-05  None 111 days
10   188       788      810   54.746614  ... 2018-02-20 2018-03-22  None  30 days
11   174       863      928   56.792266  ... 2018-06-07 2018-09-10  None  95 days
12   170       946      948   60.005565  ... 2018-10-04 2018-10-08  None   4 days
13   176      1044     1095   55.568890  ... 2019-02-27 2019-05-10  None  72 days
14   166      1181     1294   61.459860  ... 2019-09-12 2020-02-25  None 166 days
15   163      1380     1380   71.855782  ... 2020-06-26 2020-06-26  None   0 days
16   163      1381     1433   68.180633  ... 2020-06-29 2020-09-11  None  74 days
17   159      1435     1438   77.107203  ... 2020-09-15 2020-09-18  None   3 days
18   150      1455     1698   79.503247  ... 2020-10-13 2021-09-30  None 352 days
19   143      1704     1716  140.465630  ... 2021-10-08 2021-10-26  None  18 days
20   136      1718     1755  147.888192  ... 2021-10-28 2021-12-21  None  54 days
21   134      1763     1766  145.053396  ... 2022-01-03 2022-01-06  None   3 days
22   126      1785     1786  145.876178  ... 2022-02-03 2022-02-04  None   1 days

[23 rows x 11 columns]"
