,0
Start,2015-01-02 00:00:00
End,2023-02-24 00:00:00
Duration,2975 days 00:00:00
Exposure Time [%],64.94392979034617
Equity Final [$],20455.376834190378
Equity Peak [$],22404.87894167329
Return [%],104.55376834190378
Buy & Hold Return [%],432.97692507815196
Return (Ann.) [%],9.191278307176344
Volatility (Ann.) [%],19.78142265048044
Sharpe Ratio,0.46464192538513455
Sortino Ratio,0.7293081028138465
Calmar Ratio,0.37068070679326814
Max. Drawdown [%],-24.795674926514046
Avg. Drawdown [%],-3.982772282907136
Max. Drawdown Duration,482 days 00:00:00
Avg. Drawdown Duration,49 days 00:00:00
# Trades,27
Win Rate [%],33.33333333333333
Best Trade [%],52.53273140729222
Worst Trade [%],-7.176402161589901
Avg. Trade [%],2.692296870011668
Max. Trade Duration,537 days 00:00:00
Avg. Trade Duration,71 days 00:00:00
Profit Factor,2.3702234160524935
Expectancy [%],3.363735770921456
SQN,1.3879401412450645
Kelly Criterion,0.18061687486931735
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2015-01-02  10000.000000     0.000000              NaT
2015-01-05  10000.000000     0.000000              NaT
2015-01-06  10000.000000     0.000000              NaT
2015-01-07  10000.000000     0.000000              NaT
2015-01-08  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-17  21111.476093     0.057729              NaT
2023-02-21  20674.886142     0.077215              NaT
2023-02-22  20580.925845     0.081409              NaT
2023-02-23  20844.986636     0.069623              NaT
2023-02-24  20455.376834     0.087012         462 days

[2051 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0    210        96      112   47.469119  ... 2015-05-21 2015-06-15  None  25 days
1    209       113      124   45.531398  ... 2015-06-16 2015-07-01  None  15 days
2    198       135      142   46.736199  ... 2015-07-17 2015-07-28  None  11 days
3    192       146      160   47.167920  ... 2015-08-03 2015-08-21  None  18 days
4    179       201      262   47.629759  ... 2015-10-20 2016-01-19  None  91 days
5    167       271      273   55.099521  ... 2016-02-01 2016-02-03  None   2 days
6    151       409      778   57.770161  ... 2016-08-17 2018-02-05  None 537 days
7    152       779      811   87.237559  ... 2018-02-06 2018-03-23  None  45 days
8    139       813      813   95.319762  ... 2018-03-27 2018-03-27  None   0 days
9    135       820      950   91.855958  ... 2018-04-06 2018-10-10  None 187 days
10   129       956      959  110.540398  ... 2018-10-18 2018-10-23  None   5 days
11   122       972      973  111.293398  ... 2018-11-09 2018-11-12  None   3 days
12   116       988      989  112.387762  ... 2018-12-04 2018-12-06  None   2 days
13   105      1057     1196  116.634678  ... 2019-03-18 2019-10-03  None 199 days
14   100      1202     1211  140.680475  ... 2019-10-11 2019-10-24  None  13 days
15   100      1212     1293  139.897356  ... 2019-10-25 2020-02-24  None 122 days
16    96      1294     1296  174.896797  ... 2020-02-25 2020-02-27  None   2 days
17    93      1301     1302  166.714203  ... 2020-03-05 2020-03-06  None   1 days
18    88      1329     1433  171.884797  ... 2020-04-15 2020-09-11  None 149 days
19    84      1436     1438  211.462475  ... 2020-09-16 2020-09-18  None   2 days
20    81      1448     1467  208.832000  ... 2020-10-02 2020-10-29  None  27 days
21    74      1472     1485  222.928153  ... 2020-11-05 2020-11-24  None  19 days
22    73      1488     1521  214.956406  ... 2020-11-30 2021-01-19  None  50 days
23    69      1523     1606  225.598797  ... 2021-01-21 2021-05-20  None 119 days
24    68      1607     1698  248.560287  ... 2021-05-21 2021-09-30  None 132 days
25    65      1704     1766  297.404881  ... 2021-10-08 2022-01-06  None  90 days
26    81      2031     2050  249.985966  ... 2023-01-27 2023-02-24  None  28 days

[27 rows x 11 columns]"
