,0
Start,2015-01-02 00:00:00
End,2023-02-24 00:00:00
Duration,2975 days 00:00:00
Exposure Time [%],60.165772793759146
Equity Final [$],183394.11204318606
Equity Peak [$],186857.82156161868
Return [%],1733.9411204318606
Buy & Hold Return [%],4527.123901012297
Return (Ann.) [%],42.96450958674745
Volatility (Ann.) [%],48.95274963533029
Sharpe Ratio,0.8776730603859482
Sortino Ratio,2.0960926728962828
Calmar Ratio,1.2034252068933267
Max. Drawdown [%],-35.7018527953735
Avg. Drawdown [%],-5.522496633271777
Max. Drawdown Duration,743 days 00:00:00
Avg. Drawdown Duration,38 days 00:00:00
# Trades,35
Win Rate [%],34.285714285714285
Best Trade [%],227.30796832437866
Worst Trade [%],-8.190512617584368
Avg. Trade [%],8.669515649968318
Max. Trade Duration,315 days 00:00:00
Avg. Trade Duration,50 days 00:00:00
Profit Factor,5.413076692547598
Expectancy [%],13.334666493139444
SQN,1.7770485758477979
Kelly Criterion,0.23196378504948711
_strategy,MaCrossingStrategy
_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-02   10000.000000     0.000000              NaT
2015-01-05   10000.000000     0.000000              NaT
2015-01-06   10000.000000     0.000000              NaT
2015-01-07   10000.000000     0.000000              NaT
2015-01-08   10000.000000     0.000000              NaT
...                   ...          ...              ...
2023-02-17  168900.185896     0.068856              NaT
2023-02-21  163116.814451     0.100740              NaT
2023-02-22  163897.916746     0.096434              NaT
2023-02-23  186857.821562     0.000000           9 days
2023-02-24  183394.112043     0.018537              NaT

[2051 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0   1896        87       87    5.273510  ... 2015-05-08 2015-05-08  None   0 days
1   1781       102      109    5.589770  ... 2015-06-01 2015-06-10  None   9 days
2   1720       171      257    5.592280  ... 2015-09-08 2016-01-11  None 125 days
3   1605       286      504    7.848770  ... 2016-02-23 2017-01-03  None 315 days
4   1588       505      539   25.953400  ... 2017-01-04 2017-02-23  None  50 days
5   1458       557      561   27.296250  ... 2017-03-21 2017-03-27  None   6 days
6   1398       563      567   27.105489  ... 2017-03-29 2017-04-04  None   6 days
7   1187       593      736   30.132551  ... 2017-05-11 2017-12-04  None 207 days
8   1121       748      778   49.622699  ... 2017-12-20 2018-02-05  None  47 days
9   1020       781      814   58.703881  ... 2018-02-08 2018-03-28  None  48 days
10   888       842      875   62.421191  ... 2018-05-08 2018-06-25  None  48 days
11   838       887      950   62.589360  ... 2018-07-12 2018-10-10  None  90 days
12  1112      1070     1085   47.188000  ... 2019-04-04 2019-04-26  None  22 days
13  1112      1086     1094   44.780911  ... 2019-04-29 2019-05-09  None  10 days
14  1046      1179     1189   44.974178  ... 2019-09-10 2019-09-24  None  14 days
15  1036      1190     1293   43.300009  ... 2019-09-25 2020-02-24  None 152 days
16  1009      1294     1294   69.351297  ... 2020-02-25 2020-02-25  None   0 days
17   995      1295     1296   65.777059  ... 2020-02-26 2020-02-27  None   1 days
18  1018      1297     1303   60.857462  ... 2020-02-28 2020-03-09  None  10 days
19   973      1317     1320   62.750000  ... 2020-03-27 2020-04-01  None   5 days
20   854      1324     1429   69.602297  ... 2020-04-07 2020-09-04  None 150 days
21   883      1430     1430  117.814381  ... 2020-09-08 2020-09-08  None   0 days
22   832      1431     1497  124.496000  ... 2020-09-09 2020-12-11  None  93 days
23   792      1519     1520  136.293000  ... 2021-01-14 2021-01-15  None   1 days
24   735      1525     1527  138.368775  ... 2021-01-25 2021-01-27  None   2 days
25   648      1542     1545  147.879153  ... 2021-02-18 2021-02-23  None   5 days
26   647      1547     1547  141.016822  ... 2021-02-25 2021-02-25  None   0 days
27   638      1550     1551  139.556000  ... 2021-03-02 2021-03-03  None   1 days
28   603      1573     1606  139.229703  ... 2021-04-05 2021-05-20  None  45 days
29   566      1607     1701  152.244047  ... 2021-05-21 2021-10-05  None 137 days
30   533      1704     1744  211.854034  ... 2021-10-08 2021-12-06  None  59 days
31   482      1745     1749  310.808287  ... 2021-12-07 2021-12-13  None   6 days
32   495      1750     1768  278.097950  ... 2021-12-14 2022-01-10  None  27 days
33   462      1771     1771  284.925169  ... 2022-01-13 2022-01-13  None   0 days
34   789      2019     2050  155.690287  ... 2023-01-10 2023-02-24  None  45 days

[35 rows x 11 columns]"
