,0
Start,2020-04-10 00:00:00
End,2023-02-25 00:00:00
Duration,1051 days 00:00:00
Exposure Time [%],44.761904761904766
Equity Final [$],1139798.1829773586
Equity Peak [$],1586056.2686833604
Return [%],11297.981829773586
Buy & Hold Return [%],2267.571598914467
Return (Ann.) [%],418.79117124199945
Volatility (Ann.) [%],708.957350675935
Sharpe Ratio,0.590714195773152
Sortino Ratio,7.548164359186688
Calmar Ratio,6.583623805996118
Max. Drawdown [%],-63.61104212251316
Avg. Drawdown [%],-14.752495591534217
Max. Drawdown Duration,476 days 00:00:00
Avg. Drawdown Duration,29 days 00:00:00
# Trades,47
Win Rate [%],14.893617021276595
Best Trade [%],597.2652581930009
Worst Trade [%],-5.825965742697081
Avg. Trade [%],10.602214427491985
Max. Trade Duration,76 days 00:00:00
Avg. Trade Duration,10 days 00:00:00
Profit Factor,7.316498974749068
Expectancy [%],28.51991616746036
SQN,1.109552309820969
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2020-04-10  1.000000e+04     0.000000              NaT
2020-04-11  1.000000e+04     0.000000              NaT
2020-04-12  1.000000e+04     0.000000              NaT
2020-04-13  1.000000e+04     0.000000              NaT
2020-04-14  1.000000e+04     0.000000              NaT
...                  ...          ...              ...
2023-02-19  1.226364e+06     0.226784              NaT
2023-02-20  1.292549e+06     0.185055              NaT
2023-02-21  1.231686e+06     0.223429              NaT
2023-02-22  1.193809e+06     0.247310              NaT
2023-02-25  1.139798e+06     0.281363         476 days

[1050 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  ...  EntryTime   ExitTime  Duration
0   15444        62       62  ... 2020-06-11 2020-06-11    0 days
1   13807        71       71  ... 2020-06-20 2020-06-20    0 days
2   13837        72      130  ... 2020-06-21 2020-08-18   58 days
3   12058       131      131  ... 2020-08-19 2020-08-19    0 days
4   13105       132      147  ... 2020-08-20 2020-09-04   15 days
5   12452       148      148  ... 2020-09-05 2020-09-05    0 days
6   12049       154      154  ... 2020-09-11 2020-09-11    0 days
7   11570       155      155  ... 2020-09-12 2020-09-12    0 days
8   11247       156      156  ... 2020-09-13 2020-09-13    0 days
9   10975       157      158  ... 2020-09-14 2020-09-15    1 days
10  11397       159      159  ... 2020-09-16 2020-09-16    0 days
11  10457       163      163  ... 2020-09-20 2020-09-20    0 days
12   9563       170      171  ... 2020-09-27 2020-09-28    1 days
13  12515       230      230  ... 2020-11-26 2020-11-26    0 days
14  12809       238      238  ... 2020-12-04 2020-12-04    0 days
15  10220       270      270  ... 2021-01-05 2021-01-05    0 days
16  11127       271      271  ... 2021-01-06 2021-01-06    0 days
17  11728       272      322  ... 2021-01-07 2021-02-26   50 days
18  11643       323      324  ... 2021-02-27 2021-02-28    1 days
19  11420       325      329  ... 2021-03-01 2021-03-05    4 days
20  11252       330      330  ... 2021-03-06 2021-03-06    0 days
21  10293       331      350  ... 2021-03-07 2021-03-26   19 days
22   8587       351      404  ... 2021-03-27 2021-05-19   53 days
23   7966       407      407  ... 2021-05-22 2021-05-22    0 days
24   7360       422      424  ... 2021-06-06 2021-06-08    2 days
25   6560       426      426  ... 2021-06-10 2021-06-10    0 days
26   6347       427      427  ... 2021-06-11 2021-06-11    0 days
27   6241       432      432  ... 2021-06-16 2021-06-16    0 days
28   7108       479      480  ... 2021-08-02 2021-08-03    1 days
29   6440       482      522  ... 2021-08-05 2021-09-14   40 days
30   6020       523      524  ... 2021-09-15 2021-09-16    1 days
31   5910       525      525  ... 2021-09-17 2021-09-17    0 days
32   5783       526      528  ... 2021-09-18 2021-09-20    2 days
33   6084       529      529  ... 2021-09-21 2021-09-21    0 days
34   6125       530      606  ... 2021-09-22 2021-12-07   76 days
35  11593       714      738  ... 2022-03-25 2022-04-18   24 days
36  10325       740      741  ... 2022-04-20 2022-04-21    1 days
37  10425       742      745  ... 2022-04-22 2022-04-25    3 days
38  22991       830      832  ... 2022-07-19 2022-07-21    2 days
39  22035       833      833  ... 2022-07-22 2022-07-22    0 days
40  22185       834      836  ... 2022-07-23 2022-07-25    2 days
41  19886       840      844  ... 2022-07-29 2022-08-02    4 days
42  20279       845      861  ... 2022-08-03 2022-08-19   16 days
43  23394       935      936  ... 2022-11-01 2022-11-02    1 days
44  19631       940      940  ... 2022-11-06 2022-11-06    0 days
45  20898       941      941  ... 2022-11-07 2022-11-07    0 days
46  49369      1003     1049  ... 2023-01-08 2023-02-25   48 days

[47 rows x 10 columns]"
