,0
Start,2017-11-09 00:00:00
End,2023-02-22 00:00:00
Duration,1931 days 00:00:00
Exposure Time [%],44.77225672877847
Equity Final [$],9094.305970138532
Equity Peak [$],26790.415434738148
Return [%],-9.05694029861468
Buy & Hold Return [%],30.78333757399148
Return (Ann.) [%],-1.7775855363180382
Volatility (Ann.) [%],60.026969551575895
Sharpe Ratio,-0.02961311473154938
Sortino Ratio,-0.04548076947486382
Calmar Ratio,-0.026008506194525435
Max. Drawdown [%],-68.34631420285892
Avg. Drawdown [%],-19.025006967295525
Max. Drawdown Duration,1058 days 00:00:00
Avg. Drawdown Duration,124 days 00:00:00
# Trades,58
Win Rate [%],17.24137931034483
Best Trade [%],86.31463403093203
Worst Trade [%],-5.631246424152058
Avg. Trade [%],-0.17564585438147873
Max. Trade Duration,137 days 00:00:00
Avg. Trade Duration,14 days 00:00:00
Profit Factor,1.2133783965473979
Expectancy [%],0.9379181791557331
SQN,-0.08726866587371668
Kelly Criterion,-0.006799317279908679
_strategy,MaCrossingStrategy
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
Date                                                 
2017-11-09  10000.00000     0.000000              NaT
2017-11-10  10000.00000     0.000000              NaT
2017-11-11  10000.00000     0.000000              NaT
2017-11-12  10000.00000     0.000000              NaT
2017-11-13  10000.00000     0.000000              NaT
...                 ...          ...              ...
2023-02-18   9094.30597     0.660539              NaT
2023-02-19   9094.30597     0.660539              NaT
2023-02-20   9094.30597     0.660539              NaT
2023-02-21   9094.30597     0.660539              NaT
2023-02-22   9094.30597     0.660539         654 days

[1932 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0     25        65       68  394.612169  ... 2018-01-13 2018-01-16  None   3 days
1     30        71       74  315.390539  ... 2018-01-19 2018-01-22  None   3 days
2     25       115      118  353.154978  ... 2018-03-04 2018-03-07  None   3 days
3     25       119      119  339.481514  ... 2018-03-08 2018-03-08  None   0 days
4     31       164      171  258.352290  ... 2018-04-22 2018-04-29  None   7 days
5     30       172      172  257.371392  ... 2018-04-30 2018-04-30  None   0 days
6     30       173      173  243.418801  ... 2018-05-01 2018-05-01  None   0 days
7     27       175      178  250.333343  ... 2018-05-03 2018-05-06  None   3 days
8     28       179      179  236.684972  ... 2018-05-07 2018-05-07  None   0 days
9     44       262      263  140.262811  ... 2018-07-29 2018-07-30  None   1 days
10    43       299      300  135.683577  ... 2018-09-04 2018-09-05  None   1 days
11    47       311      312  119.247091  ... 2018-09-16 2018-09-17  None   1 days
12    43       317      319  124.037171  ... 2018-09-22 2018-09-24  None   2 days
13    43       320      336  115.865615  ... 2018-09-25 2018-10-11  None  16 days
14    98       458      595   48.780959  ... 2019-02-10 2019-06-27  None 137 days
15    94       596      598   94.866679  ... 2019-06-28 2019-06-30  None   2 days
16    95       599      600   88.110115  ... 2019-07-01 2019-07-02  None   1 days
17    74       606      606  107.524094  ... 2019-07-08 2019-07-08  None   0 days
18    74       607      608  102.003595  ... 2019-07-09 2019-07-10  None   1 days
19    75       609      609   95.300659  ... 2019-07-11 2019-07-11  None   0 days
20    71       638      640   95.572241  ... 2019-08-09 2019-08-11  None   2 days
21   100       729      729   63.774938  ... 2019-11-08 2019-11-08  None   0 days
22    97       734      739   62.501903  ... 2019-11-13 2019-11-18  None   5 days
23    97       789      789   59.197896  ... 2020-01-07 2020-01-07  None   0 days
24    92       790      833   59.000082  ... 2020-01-08 2020-02-20  None  43 days
25    91       834      839   76.821251  ... 2020-02-21 2020-02-26  None   5 days
26    93       840      840   71.183487  ... 2020-02-27 2020-02-27  None   0 days
27   108       893      893   57.687503  ... 2020-04-20 2020-04-20  None   0 days
28   100       897      913   59.167057  ... 2020-04-24 2020-05-10  None  16 days
29    95       914      963   59.058118  ... 2020-05-11 2020-06-29  None  49 days
30    88       974     1029   67.855737  ... 2020-07-10 2020-09-03  None  55 days
31    79      1042     1042   91.307707  ... 2020-09-16 2020-09-16  None   0 days
32    78      1043     1169   87.884914  ... 2020-09-17 2021-01-21  None 126 days
33    65      1183     1201  155.588365  ... 2021-02-04 2021-02-22  None  18 days
34    59      1202     1202  225.892692  ... 2021-02-23 2021-02-23  None   0 days
35    58      1203     1203  220.454262  ... 2021-02-24 2021-02-24  None   0 days
36    58      1204     1205  206.566336  ... 2021-02-25 2021-02-26  None   1 days
37    55      1206     1286  204.975602  ... 2021-02-27 2021-05-18  None  80 days
38    76      1361     1363  240.618736  ... 2021-08-01 2021-08-03  None   2 days
39    68      1366     1398  253.889916  ... 2021-08-06 2021-09-07  None  32 days
40    62      1401     1401  262.567049  ... 2021-09-10 2021-09-10  None   0 days
41    57      1406     1411  269.625107  ... 2021-09-15 2021-09-20  None   5 days
42    52      1429     1436  279.069166  ... 2021-10-08 2021-10-15  None   7 days
43    48      1447     1448  287.701887  ... 2021-10-26 2021-10-27  None   1 days
44    48      1454     1456  272.174326  ... 2021-11-02 2021-11-04  None   2 days
45    43      1462     1462  290.547422  ... 2021-11-10 2021-11-10  None   0 days
46    42      1467     1468  276.196883  ... 2021-11-15 2021-11-16  None   1 days
47    46      1516     1516  240.332423  ... 2022-01-03 2022-01-03  None   0 days
48    46      1528     1528  230.256881  ... 2022-01-15 2022-01-15  None   0 days
49    46      1529     1531  218.795723  ... 2022-01-16 2022-01-18  None   2 days
50    50      1582     1582  189.418765  ... 2022-03-10 2022-03-10  None   0 days
51    51      1586     1635  176.826819  ... 2022-03-14 2022-05-02  None  49 days
52    68      1717     1720  149.825522  ... 2022-07-23 2022-07-26  None   3 days
53    60      1722     1726  162.249302  ... 2022-07-28 2022-08-01  None   4 days
54    57      1727     1744  161.512112  ... 2022-08-02 2022-08-19  None  17 days
55    60      1745     1771  143.106492  ... 2022-08-20 2022-09-15  None  26 days
56    60      1819     1825  150.262780  ... 2022-11-02 2022-11-08  None   6 days
57    59      1849     1918  144.901071  ... 2022-12-02 2023-02-09  None  69 days

[58 rows x 11 columns]"
