,0
Start,2019-04-18 00:00:00
End,2023-02-24 00:00:00
Duration,1408 days 00:00:00
Exposure Time [%],24.098867147270855
Equity Final [$],24133.192162673942
Equity Peak [$],45099.02286408997
Return [%],141.33192162673942
Buy & Hold Return [%],19.24193597608997
Return (Ann.) [%],25.689379188581007
Volatility (Ann.) [%],54.584073770311534
Sharpe Ratio,0.4706387305696767
Sortino Ratio,1.0829207473208997
Calmar Ratio,0.552597183431345
Max. Drawdown [%],-46.4884367109205
Avg. Drawdown [%],-10.11956998683571
Max. Drawdown Duration,858 days 00:00:00
Avg. Drawdown Duration,58 days 00:00:00
# Trades,18
Win Rate [%],22.22222222222222
Best Trade [%],224.88730263995316
Worst Trade [%],-10.852781934861877
Avg. Trade [%],5.041445924555066
Max. Trade Duration,148 days 00:00:00
Avg. Trade Duration,18 days 00:00:00
Profit Factor,3.8047730623847844
Expectancy [%],11.210760705541256
SQN,0.6065802615224726
Kelly Criterion,0.10461363872187066
_strategy,MaCrossingStrategy
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2019-04-18  10000.000000     0.000000              NaT
2019-04-22  10000.000000     0.000000              NaT
2019-04-23  10000.000000     0.000000              NaT
2019-04-24  10000.000000     0.000000              NaT
2019-04-25  10000.000000     0.000000              NaT
...                  ...          ...              ...
2023-02-17  24133.192163     0.464884              NaT
2023-02-21  24133.192163     0.464884              NaT
2023-02-22  24133.192163     0.464884              NaT
2023-02-23  24133.192163     0.464884              NaT
2023-02-24  24133.192163     0.464884         858 days

[971 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  EntryTime   ExitTime   Tag Duration
0    106        87       92   93.853923  ... 2019-08-22 2019-08-29  None   7 days
1    103        96       96   94.616958  ... 2019-09-05 2019-09-05  None   0 days
2    104       203      223   87.578923  ... 2020-02-07 2020-03-09  None  31 days
3     92       224      224  114.255203  ... 2020-03-10 2020-03-10  None   0 days
4     91       225      229  108.843644  ... 2020-03-11 2020-03-17  None   6 days
5     84       230      241  111.444000  ... 2020-03-18 2020-04-02  None  15 days
6     85       242      243  124.797203  ... 2020-04-03 2020-04-06  None   3 days
7     81       244      244  118.477017  ... 2020-04-07 2020-04-07  None   0 days
8     82       245      348  115.480077  ... 2020-04-08 2020-09-03  None 148 days
9     81       349      349  377.002000  ... 2020-09-04 2020-09-04  None   0 days
10    84       350      350  352.102812  ... 2020-09-08 2020-09-08  None   0 days
11    79       351      389  371.229000  ... 2020-09-09 2020-11-02  None  54 days
12    77       390      394  458.153315  ... 2020-11-03 2020-11-09  None   6 days
13    78       398      398  427.693950  ... 2020-11-13 2020-11-13  None   0 days
14    65       408      409  487.642812  ... 2020-11-30 2020-12-01  None   1 days
15    73       559      563  387.544000  ... 2021-07-08 2021-07-14  None   6 days
16    75       564      586  365.385713  ... 2021-07-15 2021-08-16  None  32 days
17   235       836      839  109.847644  ... 2022-08-12 2022-08-17  None   5 days

[18 rows x 11 columns]"
